table_id,alue_16_20180101,timeperiod_q,contentscode,alue_16_20180101_text,timeperiod_q_text,contentscode_text,value,value_str,source,updated
11n1,SA2,2023Q2,atp_lkm,SA2 Southern Finland,2023Q2,Job vacancies,14000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2023Q3,atp_lkm,SA2 Southern Finland,2023Q3,Job vacancies,8300,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2023Q4,atp_lkm,SA2 Southern Finland,2023Q4,Job vacancies,7200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2024Q1,atp_lkm,SA2 Southern Finland,2024Q1,Job vacancies,14100,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2024Q2,atp_lkm,SA2 Southern Finland,2024Q2,Job vacancies,7500,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2024Q3,atp_lkm,SA2 Southern Finland,2024Q3,Job vacancies,6000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2024Q4,atp_lkm,SA2 Southern Finland,2024Q4,Job vacancies,5200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2025Q1,atp_lkm,SA2 Southern Finland,2025Q1,Job vacancies,12600,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2025Q2,atp_lkm,SA2 Southern Finland,2025Q2,Job vacancies,4100,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2025Q3,atp_lkm,SA2 Southern Finland,2025Q3,Job vacancies,4200,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2025Q4,atp_lkm,SA2 Southern Finland,2025Q4,Job vacancies,5400,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2026Q1,atp_lkm,SA2 Southern Finland,2026Q1,Job vacancies,7900,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA2,2026Q2,atp_lkm,SA2 Southern Finland,2026Q2,Job vacancies,4900,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA3,2013Q1,atp_lkm,SA3 Western Finland,2013Q1,Job vacancies,13100,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
11n1,SA3,2013Q2,atp_lkm,SA3 Western Finland,2013Q2,Job vacancies,8000,,"Statistics Finland, job vacancy survey",2026-08-20T05:00:00Z
