table_id,Alue,timeperiod_m,contentscode,timeperiod_q,Alue_text,timeperiod_m_text,contentscode_text,value,value_str,source,updated,agg_source_months
12r5,SSS,,UUDETAVP,2021Q1,WHOLE COUNTRY,,New vacancies during the month (number),77658,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2021M03
12r5,SSS,,AVPAIKATLOPUSSA,2021Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),64520,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2021M06
12r5,SSS,,UUDETAVP,2021Q2,WHOLE COUNTRY,,New vacancies during the month (number),79012,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2021M06
12r5,SSS,,AVPAIKATLOPUSSA,2021Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),80177,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2021M09
12r5,SSS,,UUDETAVP,2021Q3,WHOLE COUNTRY,,New vacancies during the month (number),96525,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2021M09
12r5,SSS,,AVPAIKATLOPUSSA,2021Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),84772,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2021M12
12r5,SSS,,UUDETAVP,2021Q4,WHOLE COUNTRY,,New vacancies during the month (number),90585,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2021M12
12r5,SSS,,AVPAIKATLOPUSSA,2022Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),132680,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2022M03
12r5,SSS,,UUDETAVP,2022Q1,WHOLE COUNTRY,,New vacancies during the month (number),126202,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2022M03
12r5,SSS,,AVPAIKATLOPUSSA,2022Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),88253,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2022M06
12r5,SSS,,UUDETAVP,2022Q2,WHOLE COUNTRY,,New vacancies during the month (number),94310,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2022M06
12r5,SSS,,AVPAIKATLOPUSSA,2022Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),84174,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2022M09
12r5,SSS,,UUDETAVP,2022Q3,WHOLE COUNTRY,,New vacancies during the month (number),89376,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2022M09
12r5,SSS,,AVPAIKATLOPUSSA,2022Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),64612,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2022M12
12r5,SSS,,UUDETAVP,2022Q4,WHOLE COUNTRY,,New vacancies during the month (number),72648,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2022M12
12r5,SSS,,AVPAIKATLOPUSSA,2023Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),99318,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2023M03
12r5,SSS,,UUDETAVP,2023Q1,WHOLE COUNTRY,,New vacancies during the month (number),95192,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2023M03
12r5,SSS,,AVPAIKATLOPUSSA,2023Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),53189,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2023M06
12r5,SSS,,UUDETAVP,2023Q2,WHOLE COUNTRY,,New vacancies during the month (number),61522,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2023M06
12r5,SSS,,AVPAIKATLOPUSSA,2023Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),52147,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2023M09
12r5,SSS,,UUDETAVP,2023Q3,WHOLE COUNTRY,,New vacancies during the month (number),56883,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2023M09
12r5,SSS,,AVPAIKATLOPUSSA,2023Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),44894,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2023M12
12r5,SSS,,UUDETAVP,2023Q4,WHOLE COUNTRY,,New vacancies during the month (number),44796,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2023M12
12r5,SSS,,AVPAIKATLOPUSSA,2024Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),64216,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2024M03
12r5,SSS,,UUDETAVP,2024Q1,WHOLE COUNTRY,,New vacancies during the month (number),55885,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2024M03
12r5,SSS,,AVPAIKATLOPUSSA,2024Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),25538,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2024M06
12r5,SSS,,UUDETAVP,2024Q2,WHOLE COUNTRY,,New vacancies during the month (number),23837,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2024M06
12r5,SSS,,AVPAIKATLOPUSSA,2024Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),27220,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2024M09
12r5,SSS,,UUDETAVP,2024Q3,WHOLE COUNTRY,,New vacancies during the month (number),29660,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2024M09
12r5,SSS,,AVPAIKATLOPUSSA,2024Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),23682,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2024M12
12r5,SSS,,UUDETAVP,2024Q4,WHOLE COUNTRY,,New vacancies during the month (number),22751,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2024M12
12r5,SSS,,AVPAIKATLOPUSSA,2025Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),49093,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2025M03
12r5,SSS,,UUDETAVP,2025Q1,WHOLE COUNTRY,,New vacancies during the month (number),46911,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2025M03
12r5,SSS,,AVPAIKATLOPUSSA,2025Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),26752,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2025M06
12r5,SSS,,UUDETAVP,2025Q2,WHOLE COUNTRY,,New vacancies during the month (number),31133,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2025M06
12r5,SSS,,AVPAIKATLOPUSSA,2025Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),28853,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2025M09
12r5,SSS,,UUDETAVP,2025Q3,WHOLE COUNTRY,,New vacancies during the month (number),34212,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2025M09
12r5,SSS,,AVPAIKATLOPUSSA,2025Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),29320,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2025M12
12r5,SSS,,UUDETAVP,2025Q4,WHOLE COUNTRY,,New vacancies during the month (number),31455,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2025M12
12r5,SSS,,AVPAIKATLOPUSSA,2026Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),39711,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2026M03
12r5,SSS,,UUDETAVP,2026Q1,WHOLE COUNTRY,,New vacancies during the month (number),42025,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2026M03
12r5,SSS,,AVPAIKATLOPUSSA,2026Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),26641,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2026M06
12r5,SSS,,UUDETAVP,2026Q2,WHOLE COUNTRY,,New vacancies during the month (number),31390,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2026M06
